"","trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event"
"58",14,156,357,996.5,119.5,4.20070000000006,11.1195,-8.5,9,201,"fixation"
"59",14,1443,1653,978.333333333333,281.666666666667,3.95360000000011,11.3665999999999,-10.8333333333334,-8.33333333333331,210,"fixation"
"60",14,2316,2448,778.166666666667,392.833333333333,1.72969999999994,5.68329999999997,6.5,-8.16666666666663,132,"fixation"
"62",15,2422,2578,1059.83333333333,258.5,0.7413,7.66009999999999,6.5,-12.8333333333333,156,"fixation"
"64",16,139,278,958,104.5,1.48259999999992,6.1775,-7.33333333333331,2.83333333333333,139,"fixation"
"65",16,538,671,1058.33333333333,169.666666666667,0.988400000000112,7.90720000000001,-2.66666666666663,-9.83333333333334,133,"fixation"
"66",16,878,1012,1070.5,245,1.23550000000006,9.88400000000001,3.66666666666674,6.16666666666667,134,"fixation"
"68",17,334,534,1010,232.333333333333,0.494199999999888,2.9652,7,2.16666666666667,200,"fixation"
"69",17,2071,2339,952,948,4.69490000000011,4.20069999999997,3.66666666666674,-10.1666666666667,268,"fixation"
"70",17,2473,3174,942.666666666667,879,14.3317999999999,35.0881999999999,-12.6666666666666,13,701,"fixation"
"71",17,3308,3842,1010,837.666666666667,10.3781999999998,4.94200000000006,11.5000000000001,-6.83333333333331,534,"fixation"
"72",17,4567,4768,1398.66666666667,378,1.4826,0.988400000000028,5.66666666666663,2.33333333333331,201,"fixation"
"74",18,1992,2204,290.166666666667,419.666666666667,4.44780000000004,4.20070000000001,12.6666666666667,-7.16666666666669,212,"fixation"
"75",18,4518,4790,1239.66666666667,236.5,1.72970000000011,13.0963,-7.5,-11.1666666666667,272,"fixation"
"76",18,5796,6197,900,734.5,8.64849999999997,4.4478,10.8333333333333,9.5,401,"fixation"
"77",18,6665,6861,723,397,3.45940000000006,1.97680000000006,9.66666666666669,7.99999999999997,196,"fixation"
"78",18,7057,7438,672.833333333333,325.166666666667,7.66009999999994,19.5209,7,-17,381,"fixation"
"79",18,9002,9938,1047.33333333333,651.333333333333,9.38979999999989,12.3550000000001,10,-9,936,"fixation"
"80",18,10138,10562,975,615.666666666667,12.3549999999999,2.9652,10.8333333333334,-10.5,424,"fixation"
"81",18,13395,13829,1048.66666666667,710.333333333333,3.95360000000011,13.3434,6.33333333333337,14.5,434,"fixation"
"83",19,641,774,804.666666666667,495.5,5.93039999999992,4.69489999999999,10.6666666666666,-9.83333333333334,133,"fixation"
"84",19,1349,2151,894.5,867.833333333333,20.7563999999999,12.3550000000001,-11.1666666666666,-13,802,"fixation"
"85",19,2284,2484,910.666666666667,813,2.47099999999994,12.3549999999999,11.3333333333334,-11.4999999999999,200,"fixation"
"86",19,2612,3419,861.833333333333,808.333333333333,12.355,45.4663999999999,9.66666666666674,12.6666666666666,807,"fixation"
"87",19,3621,4356,876.333333333333,878.333333333333,3.45940000000006,38.5476,13,-13.6666666666667,735,"fixation"
"90",21,748,951,894,441,1.68552105606068e-13,16.3085999999999,-11.6666666666666,-13.6666666666667,203,"fixation"
"91",21,2079,2385,791,694.666666666667,6.42460000000006,0.988399999999944,12.6666666666667,3.83333333333331,306,"fixation"
"93",22,840,982,391.5,461,5.1891,0.494200000000014,6.33333333333331,4.5,142,"fixation"
"95",23,949,1271,1373,463.5,11.1195,2.96520000000004,-8.33333333333326,-14.5,322,"fixation"
"97",24,896,1031,911.333333333333,553.166666666667,0,6.17749999999994,5.16666666666669,-14.1666666666666,135,"fixation"
"98",24,3663,3776,1317.33333333333,393.833333333333,3.95360000000011,6.17749999999999,-6.33333333333337,12.8333333333333,113,"fixation"
"100",25,892,1201,879.333333333333,619.666666666667,16.8027999999999,7.90720000000006,-11.5,7.5,309,"fixation"
"101",25,2204,2478,756,934.666666666667,15.3202000000001,9.88400000000011,-10.5,-11.5,274,"fixation"
"102",25,2660,3463,827.333333333333,890.666666666667,6.42459999999989,7.41299999999983,-9.16666666666663,11.8333333333334,803,"fixation"
"104",26,841,1009,806.333333333333,661,5.9304,7.90720000000006,-12.1666666666667,-13.8333333333334,168,"fixation"
"105",26,1214,1347,883.666666666667,660,1.97680000000006,0,-6.16666666666669,4,133,"fixation"
"106",26,2886,3709,850,883.166666666667,10.1311000000001,39.2889000000001,-9.33333333333331,-13.3333333333333,823,"fixation"
