"","trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event"
"30",2,8524,8657,786,523.166666666667,2.9652,1.23550000000006,-17.6666666666666,-8.66666666666666,133,"fixation"
"31",2,9191,9724,771,722.166666666667,25.2042,15.8144,-16.4999999999999,-9.66666666666669,533,"fixation"
"32",2,10052,10448,1024.83333333333,719.666666666667,1.4826,8.64849999999997,15.6666666666667,-10.5,396,"fixation"
"33",2,13316,13582,677.666666666667,723.166666666667,3.7065,2.47100000000003,-14,-7.83333333333331,266,"fixation"
"34",2,14382,14516,464.5,813.166666666667,0.247099999999986,6.17749999999994,-14.1666666666667,6.66666666666663,134,"fixation"
"35",2,15582,15782,243.333333333333,730,12.8492,5.43619999999994,-17.3333333333333,9.16666666666669,200,"fixation"
"36",2,15915,16114,194,671.333333333333,3.45940000000001,6.42459999999989,17.5,-12.8333333333333,199,"fixation"
"37",2,17449,17582,835.833333333333,978.666666666667,1.72969999999994,5.43619999999994,13,7.16666666666669,133,"fixation"
"38",2,18382,18781,822.666666666667,378.833333333333,13.0963,5.9304,18.9999999999999,10.5,399,"fixation"
"39",2,20115,20248,256.5,466.333333333333,3.21229999999999,2.9652,-9.66666666666669,-9.49999999999997,133,"fixation"
"40",2,20849,21116,626.166666666667,488.666666666667,9.6369,0.988400000000028,14.1666666666667,-9,267,"fixation"
"43",4,254,504,623.333333333333,122.333333333333,6.91879999999994,1.4826,21.6666666666667,1.83333333333334,250,"fixation"
"44",4,11487,12071,750.666666666667,748,13.8376000000001,8.8956,-16.5,-10.8333333333333,584,"fixation"
"45",4,12237,12654,779.333333333333,718,17.2969999999999,3.95360000000011,8.33333333333331,11,417,"fixation"
"47",5,546,1096,742.666666666667,170.333333333333,3.95359999999994,5.93040000000002,11,9.5,550,"fixation"
"48",5,1646,2013,825.5,36.1666666666667,8.89560000000017,9.63690000000001,6.83333333333331,-13.1666666666667,367,"fixation"
"50",6,191,502,683.666666666667,106.333333333333,0.988399999999944,8.40140000000001,9.66666666666669,9.5,311,"fixation"
"51",6,1399,1699,916.333333333333,350,7.413,2.47100000000003,-19.3333333333333,5.5,300,"fixation"
"52",6,5283,5583,622.666666666667,559,0.494200000000056,6.42459999999989,13.3333333333334,-8,300,"fixation"
"53",6,6283,6483,407,774.333333333333,1.97680000000001,0.494199999999888,-2.33333333333334,-6.16666666666674,200,"fixation"
"54",6,7683,7883,1131.66666666667,32.1666666666667,1.97680000000006,5.1891,-7.66666666666674,-3.66666666666667,200,"fixation"
"55",6,8883,9283,850.666666666667,211,9.14269999999994,5.18909999999998,13.1666666666666,-11.8333333333333,400,"fixation"
"56",6,9883,10083,849,53.1666666666667,2.47100000000003,2.7181,-9.16666666666669,8.66666666666666,200,"fixation"
"57",6,10374,10566,912.833333333333,1,7.66009999999994,2.471,-11.6666666666667,11.5,192,"fixation"
"58",6,10766,11466,922.666666666667,41.3333333333333,14.8259999999998,18.7796,14.3333333333333,12.8333333333333,700,"fixation"
"59",6,11766,12066,961.666666666667,33,18.7795999999999,3.4594,16.4999999999999,-9.66666666666666,300,"fixation"
"60",6,12266,13458,966.333333333333,84.8333333333333,30.3933,8.64849999999999,20.6666666666667,-8.83333333333334,1192,"fixation"
"61",6,14341,14841,779,455.333333333333,9.38980000000006,16.3086,-11.1666666666667,10,500,"fixation"
"62",6,16024,16424,1318.33333333333,429.666666666667,3.45940000000006,14.5789,-15.5,10.6666666666667,400,"fixation"
"63",6,17416,18600,716.166666666667,495,28.1694,6.42460000000006,22.3333333333334,8.66666666666666,1184,"fixation"
"64",6,18800,18991,714.833333333333,437.166666666667,2.71809999999997,7.16590000000001,-10.6666666666666,15.3333333333334,191,"fixation"
"65",6,19191,19583,792,468.166666666667,1.97679999999997,14.0847,-13.8333333333334,-11.6666666666667,392,"fixation"
"66",6,20182,20783,750.833333333333,386.5,16.0614999999999,9.63690000000004,15.1666666666667,-7.66666666666669,601,"fixation"
"67",6,20983,21882,697.333333333333,457,17.7912,7.90720000000006,-16.3333333333333,-16.1666666666667,899,"fixation"
"68",6,22258,23241,803.666666666667,462,15.8143999999999,6.6717,-17.4999999999999,-4.16666666666666,983,"fixation"
"69",6,23641,24941,711.333333333333,509,3.45939999999989,13.3433999999999,-11,13.3333333333333,1300,"fixation"
"70",6,27108,27691,874.5,155.833333333333,9.14270000000011,20.5093,-9.83333333333331,-15.3333333333333,583,"fixation"
"71",6,32066,32366,731.666666666667,643.333333333333,22.239,1.4826,19,-10.8333333333333,300,"fixation"
"72",6,32766,33149,647.666666666667,746.833333333333,7.90720000000006,2.22390000000008,10.3333333333334,-12.6666666666667,383,"fixation"
"73",6,33541,33833,799.333333333333,706.333333333333,24.2158000000001,6.91879999999994,19,-4.66666666666669,292,"fixation"
"74",6,34432,34633,888.666666666667,468.833333333333,4.94200000000006,1.72970000000003,-3.66666666666674,8.16666666666669,201,"fixation"
"75",6,34833,35035,876.166666666667,539.333333333333,0.247100000000028,1.4826,-5,-13.1666666666667,202,"fixation"
"77",7,2250,2549,478,821.666666666667,4.94199999999989,2.9652,-16.1666666666667,9,299,"fixation"
"78",7,2849,3350,603.333333333333,757.333333333333,1.97680000000006,4.4478,11.1666666666667,9.33333333333331,501,"fixation"
"79",7,4157,4358,455,426.833333333333,1.97680000000001,0.247100000000028,-2.16666666666666,7.33333333333334,201,"fixation"
"80",7,6533,6833,803,292.666666666667,6.42460000000006,1.4826,-21.6666666666667,-6.33333333333334,300,"fixation"
"81",7,10291,10491,495.5,790,0.247100000000028,1.97679999999997,-6.16666666666669,9,200,"fixation"
"84",9,250,502,709,24.1666666666667,1.97679999999997,9.6369,-5.16666666666663,-15.3333333333333,252,"fixation"
"86",10,1150,1408,723.333333333333,147.5,10.3782,1.23549999999999,-18,-11.1666666666667,258,"fixation"
"87",10,3466,3716,1195.33333333333,489.666666666667,2.9652,0.494200000000056,-8.16666666666663,4.66666666666663,250,"fixation"
"88",10,6092,6967,1245.33333333333,474,7.90719999999989,17.2970000000001,11.5,-14,875,"fixation"
"89",10,9092,10217,538.333333333333,733,13.3434,19.2738,-16.8333333333333,-8.66666666666669,1125,"fixation"
"90",10,10466,11467,609.333333333333,684.5,8.64849999999989,35.8294999999999,-11.3333333333333,16.6666666666666,1001,"fixation"
"91",10,12717,13091,874,66.6666666666667,4.94200000000006,2.47099999999999,-7.5,-13.1666666666667,374,"fixation"
"92",10,16350,16600,1136,602.666666666667,4.4478,5.43619999999994,-11.6666666666667,10.1666666666666,250,"fixation"
"94",11,284,561,708,22.5,11.3666,3.7065,11.3333333333334,-11.6666666666667,277,"fixation"
"95",11,4091,4759,1147,443.666666666667,0.494199999999888,8.40140000000003,-17.5,-7.5,668,"fixation"
"96",11,5959,6359,726,601.333333333333,0.988400000000112,9.38980000000006,7.83333333333331,-12.1666666666666,400,"fixation"
"97",11,6624,7044,654.333333333333,615.666666666667,13.8375999999999,1.97680000000006,16.1666666666667,8.66666666666669,420,"fixation"
"99",12,138,703,709.666666666667,147.833333333333,8.40139999999994,38.7947,-10.6666666666666,42.6666666666667,565,"fixation"
"103",12,1825,2386,759,449,63.9989,22.4861,-51,67.8333333333333,561,"fixation"
"104",12,2892,5344,929.666666666667,353.333333333333,42.9954,51.3968,-23.0000000000001,19.5,2452,"fixation"
"108",12,6411,7044,659.666666666667,606.333333333333,7.90720000000006,13.3434,19,-16.6666666666667,633,"fixation"
"109",12,7376,7661,741,501.5,6.17749999999994,21.0035,-6.66666666666663,11.3333333333333,285,"fixation"
"111",13,1271,1555,754.666666666667,441.666666666667,12.3550000000001,5.9304,15.5,13.6666666666667,284,"fixation"
"112",13,3916,4479,837.166666666667,440,14.5789000000001,1.72970000000003,19,12.8333333333333,563,"fixation"
